               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.024828,           0.0070121,           0.0053401,             0.98242,             0.98508,             0.99439,             0.77117,            0.017795,            0.003435,           0.0018585,             0.00538,             0.00538,             0.00538
                  37,            0.024569,           0.0072275,           0.0054896,             0.98395,             0.98234,             0.99439,              0.7768,            0.017129,           0.0033545,            0.001212,            0.005248,            0.005248,            0.005248
                  38,            0.024501,           0.0070267,           0.0056984,             0.97742,             0.99064,               0.995,             0.77388,            0.017512,            0.003295,           0.0011956,            0.005116,            0.005116,            0.005116
                  39,            0.024495,           0.0069252,           0.0052856,             0.97759,             0.98021,             0.98981,             0.77073,            0.016867,           0.0031721,           0.0014679,            0.004984,            0.004984,            0.004984
                  40,            0.024093,            0.006844,            0.005365,             0.98263,             0.97945,             0.98825,             0.78018,            0.016656,            0.003326,           0.0012073,            0.004852,            0.004852,            0.004852
                  41,            0.023529,           0.0068723,           0.0051658,             0.98029,             0.98776,             0.99398,             0.78362,             0.01711,           0.0031844,           0.0013146,             0.00472,             0.00472,             0.00472
                  42,            0.023528,           0.0068446,           0.0048448,             0.98093,             0.97559,             0.99074,             0.77876,            0.016967,            0.003232,           0.0019332,            0.004588,            0.004588,            0.004588
                  43,             0.02367,           0.0067423,           0.0053465,             0.98004,             0.97926,             0.99077,             0.76988,            0.017132,           0.0032734,           0.0014668,            0.004456,            0.004456,            0.004456
                  44,            0.023298,           0.0068583,           0.0048669,             0.97965,             0.98075,             0.99088,             0.77396,            0.017262,           0.0031696,           0.0013393,            0.004324,            0.004324,            0.004324
                  45,            0.022971,           0.0068342,           0.0049657,             0.98153,             0.98923,             0.99374,             0.76578,            0.017026,           0.0032683,           0.0019063,            0.004192,            0.004192,            0.004192
                  46,            0.022801,           0.0066602,           0.0047044,             0.98083,             0.97688,             0.99431,             0.78722,            0.017036,           0.0032694,             0.00166,             0.00406,             0.00406,             0.00406
                  47,             0.02241,           0.0065955,           0.0046574,             0.98209,             0.98489,              0.9949,             0.77852,            0.016881,           0.0031557,           0.0014053,            0.003928,            0.003928,            0.003928
                  48,            0.022459,           0.0066938,            0.004647,             0.98039,             0.98898,             0.99454,             0.78217,            0.016431,           0.0031714,           0.0021217,            0.003796,            0.003796,            0.003796
                  49,            0.022307,            0.006542,           0.0046015,             0.97689,             0.98272,              0.9891,             0.77941,            0.016925,           0.0032318,           0.0017679,            0.003664,            0.003664,            0.003664
                  50,            0.021975,           0.0066003,           0.0044509,             0.98145,             0.98155,              0.9949,             0.78291,            0.016166,           0.0031138,           0.0010728,            0.003532,            0.003532,            0.003532
                  51,            0.021899,           0.0064831,           0.0043308,             0.98262,             0.98083,             0.99339,             0.78543,            0.016321,           0.0031206,           0.0016335,              0.0034,              0.0034,              0.0034
                  52,            0.021517,           0.0063969,           0.0041105,             0.98209,             0.98278,              0.9907,             0.78948,            0.015874,           0.0030854,           0.0013576,            0.003268,            0.003268,            0.003268
                  53,             0.02141,            0.006504,           0.0042979,             0.98203,             0.98023,             0.99449,             0.79114,            0.016581,           0.0033047,          0.00092538,            0.003136,            0.003136,            0.003136
                  54,            0.021161,           0.0063804,           0.0039375,             0.98441,             0.97983,              0.9949,             0.78585,            0.016286,           0.0033063,            0.001049,            0.003004,            0.003004,            0.003004
                  55,            0.021024,           0.0063245,           0.0042876,             0.98361,             0.98356,              0.9949,             0.78131,            0.016286,            0.003192,          0.00089136,            0.002872,            0.002872,            0.002872
                  56,            0.020997,           0.0063808,           0.0038894,             0.98233,             0.98178,              0.9949,             0.78766,            0.016268,           0.0031516,           0.0010046,             0.00274,             0.00274,             0.00274
                  57,            0.020702,           0.0063834,           0.0038491,             0.98045,             0.98771,              0.9949,             0.79208,              0.0162,           0.0031267,            0.001502,            0.002608,            0.002608,            0.002608
                  58,            0.020461,           0.0063317,           0.0037413,             0.98119,             0.98006,             0.99448,             0.78554,             0.01628,           0.0031178,           0.0012527,            0.002476,            0.002476,            0.002476
                  59,            0.020306,           0.0062568,           0.0036066,             0.98361,             0.97939,             0.99448,             0.78861,            0.016069,           0.0032288,           0.0011433,            0.002344,            0.002344,            0.002344
                  60,            0.020009,           0.0063044,           0.0036425,             0.98299,             0.98501,             0.99448,             0.79578,            0.016242,            0.003198,           0.0014027,            0.002212,            0.002212,            0.002212
                  61,            0.019954,           0.0062675,           0.0035812,              0.9818,             0.98082,             0.99448,             0.79297,            0.015884,           0.0030959,            0.001154,             0.00208,             0.00208,             0.00208
                  62,            0.019472,           0.0062082,           0.0032857,             0.97807,             0.98437,               0.991,             0.79329,             0.01578,           0.0031304,           0.0009037,            0.001948,            0.001948,            0.001948
                  63,            0.019496,           0.0060916,           0.0032768,              0.9836,             0.98466,             0.99413,             0.79371,            0.015991,           0.0032035,           0.0012918,            0.001816,            0.001816,            0.001816
                  64,            0.019163,           0.0060992,           0.0034144,             0.98192,             0.98618,             0.99397,             0.79369,            0.016068,           0.0031628,           0.0015326,            0.001684,            0.001684,            0.001684
                  65,            0.018955,           0.0061051,           0.0030557,             0.98235,              0.9833,             0.99448,             0.78574,            0.016184,           0.0030627,           0.0012591,            0.001552,            0.001552,            0.001552
                  66,            0.018773,           0.0059598,           0.0031979,                0.98,             0.98133,             0.99448,             0.78604,            0.015901,           0.0031885,           0.0018799,             0.00142,             0.00142,             0.00142
                  67,             0.01859,           0.0059184,            0.003053,             0.98298,             0.97924,             0.99092,             0.79077,            0.015849,           0.0031164,           0.0016405,            0.001288,            0.001288,            0.001288
                  68,            0.018538,           0.0059709,           0.0031426,             0.98385,             0.98261,             0.99448,             0.78537,            0.015969,            0.003089,            0.001912,            0.001156,            0.001156,            0.001156
                  69,            0.018439,           0.0059069,           0.0031426,             0.98305,             0.98429,             0.99448,             0.79587,            0.015684,           0.0030898,            0.001516,            0.001024,            0.001024,            0.001024
                  70,            0.018168,           0.0059622,           0.0028322,              0.9832,             0.98457,             0.99448,             0.79401,            0.015914,           0.0030655,           0.0014724,            0.000892,            0.000892,            0.000892
                  71,             0.01798,            0.005967,           0.0030066,              0.9837,             0.98519,             0.99448,              0.7852,            0.015752,           0.0030604,           0.0012225,             0.00076,             0.00076,             0.00076
                  72,             0.01768,           0.0057962,            0.002761,             0.98422,               0.984,             0.99448,             0.79131,             0.01575,           0.0030458,           0.0012892,            0.000628,            0.000628,            0.000628
                  73,             0.01763,           0.0058054,           0.0026601,             0.98438,             0.98416,             0.99448,             0.78926,            0.015872,           0.0030573,           0.0012997,            0.000496,            0.000496,            0.000496
                  74,            0.017169,           0.0057237,           0.0027189,              0.9842,             0.98389,             0.99448,             0.79008,            0.015841,           0.0030707,           0.0014409,            0.000364,            0.000364,            0.000364
